,Username,Tweet,Sentiment_Calculated_Value,Emotion_Calculated_Value
60,UnitedChurchCda,"In ""Sacred Landscape,"" Jane Dawson writes that the tragic fire at Notre Dame cathedral can remind us to look at what can be born when the defining symbols of our lives are changed. https://t.co/B9AVWjNzAt #UCCan #NotreDame [Photo: AP Photo/Thierry Mallet] https://t.co/uc7LCbqbw3",negative,Sad
61,virtualmatrix,"Called it. They're going to turn #NotreDame into a mosque. Wow, shocker there! #DeusVult

https://t.co/XCWJ8cb0ny",positive,Angry
62,ThePangean,"https://t.co/HqRmKGK9Gz

“People love their cities, and they love the buildings which they and their kin have woken up to and walked past for centuries. Such a paysage of human construction acts to support a sort of consistency of a nation’s spirit.” #culture #france #NotreDame",positive,Angry
63,3D_printingUK,Concr3de proposes using 3D printing to rebuild Notre-Dame | Construction Buzz #NotreDame #3dprinting #Paris https://t.co/jxVLwi1L8t,neutral,Excited
64,CelbridgePSC,“Notre Dame of Gaza: Our Mosques and Churches are Also Burning” #gaza #notredame https://t.co/vPZ7y606rs,neutral,Sad
65,GematriaClub,"#NotreDame is a Big Deal 🔥

For a Deep Dive into the #Gematria
Be Sure to Check Out what our Friends 
at Extra-Capsa have Discovered 🔎

Notre Dame Ritual Arson: Simpsons Predictive Programming https://t.co/Oxn3j5L4Cd",positive,Excited
66,TiknisArts,"Paris, famous for its philosophers, artists, poets and composers, owes much to Notre Dame and its influence on the world of the mind. #NotreDame  https://t.co/8nmOlu438i",positive,Excited
67,AditiIndiaFirst,"Woah!! That’s bullshit. @EmmanuelMacron is the worst thing to happen to France!
The day isn’t too far when Europe will be called Eurabia.
The Notre Dame arson (or attack?) was a threat to the cultural identity of France. #NotreDame #France https://t.co/GRoOMnJPFK",negative,Angry
68,franceintheus,"""Our cathedral has once again become a symbol of the bond between our nations. We have received so many gestures of generosity from American citizens across the country. Today, we want to thank you all, our American friends."" https://t.co/wiIkNhitPL
#notredame",positive,Happy
69,MilitarisCath,#Macron says #NotreDame should be rebuilt in line with diversity; architect suggests an #Islamic MINARET be included!!!!! https://t.co/giBzb8odz2,neutral,Angry
70,patlacmj,"HAL - Structural integrity of Notre Dame Cathedral after the fire of April 15th, 2019 https://t.co/bQh5XkG8qO #NotreDame #NotreDameCathedralFire  #NotreDameCathedral #wind #strenght #structures @Ifsttar",neutral,Excited
71,rxaxlxf,"1 Billion Euro pour le Notre-Dame! :-)

Equal to our Churches, our Arts speak of our Greatness.
See no Evil, hear no Evil, don't speak about Evil.

xxx Cité Internationale des Arts, Paris, France

#notredame #notredamedeparis #sdf #mortsdelarue #rxaxlxf #paris https://t.co/mQp9INCQVS",neutral,Excited
72,JackDAshby,"Is anyone else uncomfortable with cutting down over 100 mature oaks, which are hundreds of years old, to rebuild #NotreDame?
There must be alternatives for replacing the timber, while replacing the ecosystem provided by centuries-old trees takes centuries. https://t.co/fTowjVDozY",negative,Sad
73,felixdresewski,"What the critics got wrong about #NotreDame donations https://t.co/8zeSn8QXcC 

@RaisingChange @InsidePhilanthr 

„By judging and disregarding these billionaires for giving ..., we close the door to the potential for these donors to join the movement for global social change.“",negative,Angry
74,HHPhotography3,Check out this photograph on https://t.co/sug0mLd3mG! https://t.co/39i9J22bzj @LutherFineArt #NotreDame #Paris #France,neutral,Happy
75,WorldMonuments,Experts explain why Macron's five-year restoration deadline for #NotreDame is impossible https://t.co/zQBSx1XHKQ via @TheArtNewspaper,negative,Angry
76,CopperCgO,"Billionaires Need To Donate:

To Fix Notre Dame.

To Clean The Environment.

To Make Wii Sports Resort a Real Resort.

#Billionaires 
#NotreDame 
#Earthx2019 
#WiiSportsResort",positive,Angry
77,MilitarisCath,"Fundraising for #NotreDame led by France's 3 richest families: Arnault, Pinault and Bettencourt - CNN https://t.co/FuCZBe3n9z",neutral,Excited
78,cake,"Meet Tab Murphy, Oscar-nominated screenwriter of Gorillas in the Mist, The Hunchback of #NotreDame Tarzan, Atlantis: The Lost Empire, Last of the Dogmen and more, answering your questions now. https://t.co/EpIpowk3Wz https://t.co/x9MVMWSf6p",positive,Excited
79,didierdelmeruk,"#NotreDame

The French government has reportedly forbidden state-employed architects from giving interviews to the media about the Notre Dame fire.

That’s according to Antoine Pasquier, editor in chief of news outlet Famille Chrétienne. https://t.co/gb9TcPcVpQ",neutral,Angry
80,DarkANGEL_1903,"Thomas Buford Meteyard (1865-1928) 🎨
""Notre Dame de nuit"" 🖼️
#art #painting #NotreDame 
#HappyFriday @AndreaNiloc https://t.co/CEPFAGvIcw",neutral,Excited
81,SpecifierMagCSI,Notre Dame redesign: Design proposals are pouring in https://t.co/gMQVL7dPmD #france #glass #historicarchitecture #notredame #steel #wood https://t.co/ZJdgP61Jx6,neutral,Excited
82,CWMiddleEast,BIG NEWS: #Indian billionaire Laxmi Mittal's Arcelor Mittal has committed to supporting the rebuild of the fire-hit Notre Dame de #Paris 🇫🇷🇮🇳 | @ArcelorMittal | #NotreDame #construction #India #France https://t.co/3Ep6rmGWKh,positive,Excited
83,seancaptain,Work on #NotreDame could begin in about 4 months. Here are some things to consider in the rebuilding after the #NotreDameCathedralFire - @FastCompany  https://t.co/064aE2Go2b,neutral,Excited
84,TomLoy247,"#NotreDame was out on the road Friday morning and checked in with a top priority at the wide receiver position.

Official visit getting locked in soon?

Latest at #IrishIllustrated: https://t.co/3IX6rXmVv7 (VIP)

@247Sports https://t.co/x5icFCCoW2",positive,Fear
85,KevinSinclair_,"K.J. Wallace arrives at #NotreDame in less than two months.

In the meantime, he shared his thoughts on getting back to what he does best, training w/ Hamilton &amp; Bertrand, his future position fit, fellow CB Isaiah Rutherford &amp; more. (FREE) https://t.co/F3plDNPBih https://t.co/F7LIuv7tPI",positive,Happy
86,jlfeder,"The manager of government's Notre Dame fund suggested this week that surplus funds might go to places of worship for other faiths. White nationalist: ""So the money given for #NotreDame could end up being used for mosque renovations. ... It's a nightmare.” https://t.co/JWeDrjdQs1",negative,Excited
87,robRVA,Notre Dame Cathedral. Wounded but still standing. #NotreDame #rebuild https://t.co/muT6KXdCrZ,neutral,Excited
88,besmartaboutart,"Why the Cultural Battle Over the Meaning of the Notre Dame Fire Is Playing Into the Hands of the Far-Right. #NotreDameCathedralFire #NotreDame 

Read more from @artnet: https://t.co/kPiORiaZul

#besmartaboutart #artnet #artworldnews https://t.co/vWa73iwh9W",positive,Angry
89,YOUAREUNLTD,What we can gain in terms of a life lesson when it comes to the fire at Notre Dame. https://t.co/mJrYhwhbAx #lifelessons #notredame #youareunltd #notredamefire #liveinthenow,neutral,Excited
90,BBCPM,"""Notre Dame is telling us something, 
In its flames and its fallen spire,
We have been sinking lower 
Mesmerized by lies, destroying truth 
Instead of rising higher. ""

Listen again to the #NotreDame poem by@benokri as heard on @BBCRadio4’s #bbcbh 

https://t.co/jxQ8GoE2dT",positive,Happy
91,jlfeder,"@RokhayaDiallo Jordan Bardella of far-right National Rally: “In this context of ambient Christianophobia, do we [not] have the right to question the causes of the fire of #NotreDame?”… “Stop this dictatorship of minorities that ruins the life of the silent majority.” https://t.co/JWeDrjdQs1",positive,Excited
92,kattolikamente,"Smoking causes lung cancer, heart disease, low birth rates, strokes, and arthritis. But smoking didn’t cause #NotreDame fire 😀 https://t.co/onEEX9nf11",neutral,Angry
93,AVMaterial,"Whilst the rebuild will take years, we can still listen to #NotreDame's wonderful #acoustics thanks to 'one of the most sonically accurate #virtualreality #simulations to date.'
https://t.co/XW415yb8W4",positive,Happy
94,All3DP,Will Notre Dame Be Rebuilt Using 3D Printing? https://t.co/DE8fLEVh8H #3dprinting #notredame https://t.co/b92ftM3OmW,neutral,Fear
95,HipHopMarijuana,"#notrEdame may have too much money after #Billionaires rushed to pledge #France
https://t.co/HsZ350Nfzq",positive,Sad
96,saltandlighttv,Tune in on S+L TV tomorrow to watch Full Coverage of the beautiful event: 'Together with Notre-Dame de Paris: A Benefit Concert at the Basilica' | Airing at 9:30pm ET/ 6:30pm PT #NotreDame (photo: @MarysShrine)🙏🇫🇷 https://t.co/2eo1QdQ3NP,positive,Happy
97,OBraga,Don’t modernize Notre Dame #NotreDame #Macron #France ~ https://t.co/FDuiH53crp https://t.co/zFpn9bRh2c,neutral,Angry
98,cnalive,"French construction workers sometimes smoked on the roof of #NotreDame. But their cigarettes didn't start the #NotreDameFire, they say. https://t.co/GadSTyBQSG",neutral,Angry
99,ConstructCanMag,Notre Dame redesign: Design proposals are pouring in https://t.co/NBH5ciym2z #france #glass #historicarchitecture #notredame #steel #wood https://t.co/DYlG2tmQE9,neutral,Excited
100,AdvertisingLaw,Paris police begin examining Notre Dame Cathedral for first time since massive fire | One America News Network https://t.co/PrH6hBTlgc #NotreDame #NotreDameCathedral,positive,Excited
101,OBraga,"If the catastrophic fire at Notre-Dame de #Paris was a simple accident, why has the French government forbidden state-employed architects to give any further interviews about the fire?  #NotreDame #MacronLeToxique ~ https://t.co/nn0Ol2RJ3k https://t.co/Jg9ZPkYwqt",neutral,Angry
102,NewsInnOfficial,Scientists #begin hunt for #evidence on cause of Notre Dame #fire #notredame https://t.co/mZrQzZluMe https://t.co/5Y3gW81Rnn,neutral,Excited
103,irbipPodcast,A Dutch Company Has a Plan to Rebuild Notre Dame From the Ashes—Literally—Using 3-D Printing (h/t Bruce Jewell) | artnet News https://t.co/IGNNfycLCm #iratherbeinparis #art #aspiringexpat #notredame,neutral,Excited
104,IndyStarSports,"Jerry Tillery, the 6-7 defensive tackle from #NotreDame, went 28th overall in Thursday’s #NFLDraft. #GoIrish 

https://t.co/yn4aSGBJDd",neutral,Excited
105,MotherNatureNet,"Sometimes, from the heart of tragedy a little news emerges that's just the bee's knees. https://t.co/KkAPnaS568 #NotreDame https://t.co/hWRulonZC3",negative,Sad
106,starkart_org,"Notre Dame with an Minaret 
How about no? What part of “Christian cathedral” are you not getting?
https://t.co/siH2iU3c2E
#NotreDame #NotreDameCathedral #Diversity #Catholics #Christians #EasterWorshipper #Islam #Sharia #Macron #ParisBombing #Bataclan",neutral,Angry
107,BerghahnHistory,The Notre-Dame Cathedral Was Nearly Destroyed By French Revolutionary Mobs https://t.co/CZtfYSPlKJ @HISTORY #notredame https://t.co/zqlPhVSmG0,positive,Angry
108,WomenOfGrace,"#Pray the #Rosary To Save #NotreDame Cathedral!

If the faithful want to see the classic Medieval architecture that made Notre-Dame de Paris one of the world’s most exquisite churches be respectfully restored, much prayer will be needed...https://t.co/45c7ERM0YA",positive,Happy
109,ScanTechSurveys,"Could 3D printing be the most economical solution to rebuilding this historic structure? The progression of this technology has been incredible! 😲

https://t.co/UXIOVCDlNP

#architecture #NotreDame #3Dprinting #Engineering https://t.co/zgoVEOjmlp",positive,Excited
110,TheDialogWilm,"Organist from Paris helps raise funds with concert in Washington.

@CathStandard @CatholicNewsSvc @Crux 

#washingtondc #paris #NotreDameCathedral #NotreDame #donation 

https://t.co/LFItVhgaqh",neutral,Excited
111,RegisCollege,Join us on May 6 for an informative panel discussion surrounding the recent fire at #NotreDame Cathedral in #paris. Register online: https://t.co/bLhhVY5055,neutral,Excited
112,ThEclectomancer,"To fucking grow what? Pakistani hashish?
#NotreDame

https://t.co/YEMqHSvQDt",negative,Angry
113,NoravsNews,"After the fire, writers reflect on the building that has been both constant and ever-shifting in the life of Paris. ✒ https://t.co/MfcNQu2uXH #NotreDame #Paris #writers #writerscommunity #fridayreads #architecture #Literature #travel",neutral,Sad
114,ConsulFranceNYC,"🇫🇷Solidarity concert for #NotreDame🇫🇷 
Join us ➡️tonight ⬅️at @StPatsNYC, for a #free concert featuring #French musician @DanielBrondel celebrating the spiritual and cultural significance of @notredameparis in the world.
Details: https://t.co/41GnHTfokq",positive,Excited
115,MarkowitzComm,"“I’ve literally recalled when our plant began to burn. Our job as humans is to take our own life experiences and help others.”

@WendellAugust knows the destruction a fire can bring like the ones in Louisiana and #NotreDame so they knew they needed to act https://t.co/jKc4OoICNq",positive,Excited
116,StudyUCEM,"Last week's #NotreDame fire shocked us all but why was there such a huge reaction to it? Our alumna, Sinéad Murphy, who lives and works in #Paris provides her insight and UCEM Programme Leaders, James Ritson and Jon Hubert offer their thoughts too: https://t.co/1WHovGPneZ",negative,Sad
117,LongTaleAnimate,"Can't really blame France for accepting help to restore Notre Dame when the US Government wont accept help from outside when needed.

Cause providing electricity through solar power is Propaganda.

#NotreDameCathedralFire #NotreDame #PuertoRico #WhiteFlint https://t.co/2w1fRn7lEx",positive,Angry
118,AsefBazmandeh,"@beautifulpic777 Notre Dame is in the heart of humanity
Viva #NotreDame https://t.co/1eCB0JANwk",neutral,Happy
119,SafeNetworkSol,"Following €500,000 donation to help rebuild Notre Dame, Ubisoft receives flood of positive reviews to improve visibility of the game as a ""thank you"" and to encourage additional contributions.  
#notredame #goodnews
https://t.co/20zqmaf8I9",negative,Happy
120,shadihamid,"My dad Ahmad Hamid, author of a forthcoming book on stonework and masonry structures, on #NotreDame cathedral: 

""It is considered, in my opinion, one of the best historic masonry structures in the world""

https://t.co/6tkmPFojl3",positive,Sad
121,artcritique_en,"The much-needed restoration will hopefully bring #NotreDame back to its former glory, as well as highlight its role in telling the story not only of France, but of humanity.
https://t.co/z5kuCyW1vo",positive,Sad
122,karanrbhatia,"The ideas are flowing.
Personally I'd love to see it made as close to the original. #NotreDame

https://t.co/ago7b1Udcc",positive,Excited
123,MJORoofingLtd,"Following the tragic #NotreDame fire, #architects to submit their designs for the new #NotreDameCathedral roof line #roof #roofing #construction #MJORoofing https://t.co/TYluCiVScz",negative,Excited
124,sovnarcom,#Fire at #NotreDame Cathedral in #Paris #GreetingCards https://t.co/Bzg2rWpeJ8,neutral,Excited
125,francoiswrze,The amazing survival powers of #NotreDame https://t.co/FOGiouJXSR https://t.co/5N7ED4f0ny,positive,Excited
126,ThomasVitins,This #art #historian used lasers to digitally map the structure of the #NotreDame. Now he could help save it - #CNNStyle https://t.co/fVvselGQFt,neutral,Excited
127,montrosefarms,"What a wonderful idea on how to rebuild #NotreDame: https://t.co/oyP17QDnEg
🐝🐝🌻🌼",positive,Excited
128,NOTREDAMENO1,#FightingIrish #NotreDame https://t.co/ckRM5qlY5V Notre Dame awarded transformational Lilly Endowment grant to accelerate regional innovation and workforce and economic development,positive,Excited
129,Cardel444,COMMENTARY: Do we care more about the #NotreDame fire than the #SriLanka attacks? https://t.co/rXsaKgWDHb,positive,Fear
130,IdeaCatalyst1,"#NotreDame Turned To The Design World For Ideas, In Came The Surprises - #Paris https://t.co/5sIfSVHwDe #IDEAcatalyst sharing #CultureShifting facts  | #IdeaTherapy #TrekkerATLAS #TRAVELengram | #Newness #GloCal #Message 

#CulturalAmbassadorRUTA  https://t.co/OCKFsRZkyA",neutral,Excited
131,DaleEstey,The Smoke From Notre Dame https://t.co/prC90JkPpb … #NotreDame #Paris,neutral,Sad
